strategy,market,trades,total_return_pct,cagr_pct,max_drawdown_pct,win_rate_pct,sharpe
sma_cross_20_80,KRW-BTC,18,6.906348499268855,21.508204303920575,-10.715593378329336,49.112426035502956,0.8417740249608292
rsi_mean_reversion,KRW-BTC,43,-19.889410177132806,-47.633260062002826,-25.872437199992337,47.38095238095238,-2.321150595101432
bb_reversion_20_2,KRW-BTC,48,-21.051572799268094,-49.81864009776884,-26.774766776142823,46.85990338164252,-2.5407503367358504
breakout_k05_trend,KRW-BTC,440,-35.611048049291504,-72.31230047370418,-37.1731945710573,42.26361031518625,-5.810384303915053
sma_cross_20_80,KRW-ETH,21,-12.501923106246803,-32.266294048456515,-16.84291185426362,46.89554419284149,-0.9101051672416961
rsi_mean_reversion,KRW-ETH,44,-32.771565941067706,-68.59796532357821,-34.87907204030448,46.616541353383454,-2.992423589528286
bb_reversion_20_2,KRW-ETH,52,-27.40294526354312,-60.70935160398041,-34.30378723669249,48.24766355140187,-2.3889953525853227
breakout_k05_trend,KRW-ETH,407,-26.180704970533153,-58.748414235715444,-27.91577892701007,40.88050314465409,-3.1701150195806598
sma_cross_20_80,KRW-XRP,29,-29.542304991053815,-63.99236274099036,-31.221134419732778,44.60016488046167,-2.7786152869883725
rsi_mean_reversion,KRW-XRP,57,-18.34593452609382,-44.63542364315947,-31.315318953410408,44.981751824817515,-1.3504646996796583
bb_reversion_20_2,KRW-XRP,54,-14.72733078900651,-37.17006400234608,-27.295320540825262,45.120551090700346,-1.1419325575194754
breakout_k05_trend,KRW-XRP,387,-38.43394831167354,-75.70644273328662,-40.360576147936115,38.556338028169016,-4.750040772983192
sma_cross_20_80,KRW-STORJ,30,-23.746241502287514,-54.19113098019319,-36.14343272019715,31.794871794871792,-0.5666956207972466
rsi_mean_reversion,KRW-STORJ,45,1.6276885469368008,4.759275257414219,-23.066018357761987,33.70786516853933,0.3499117786406679
bb_reversion_20_2,KRW-STORJ,53,35.03266402803731,137.4776174325058,-14.289324558300242,36.61971830985916,2.0171606271593143
breakout_k05_trend,KRW-STORJ,388,-46.81149029899247,-83.76539022857575,-64.1242487690588,27.683615819209038,-2.1269947526344066
sma_cross_20_80,KRW-TRX,21,3.968356295269082,12.017461183994227,-10.493392270360646,36.144578313253014,0.5926589714960152
rsi_mean_reversion,KRW-TRX,39,6.283938389828614,19.44902128698949,-8.401734635052339,34.84848484848485,1.3671960216355012
bb_reversion_20_2,KRW-TRX,45,-1.7851618922107848,-5.117184436545963,-11.057519335270472,36.73139158576052,-0.306669150504214
breakout_k05_trend,KRW-TRX,458,-40.517484584979094,-78.01664165238147,-41.01697769670031,33.779761904761905,-10.450390762712734
